model_name,disks,mean,std,var
greedy_search_heuristic3,3,0.003802252298919484,0.0006395524774921114,4.0902737146629767e-07
astar_search_heuristic3,3,0.0043641567986924205,0.0008351541226379196,6.974824085591132e-07
astar_search_heuristic1,3,0.0059140987985301765,0.0004807469418206497,2.311176220699071e-07
greedy_search_heuristic2,3,0.006688299297820777,0.0005383259748215557,2.8979485516757825e-07
astar_search_heuristic2,3,0.006914644004427828,0.0005998977916510109,3.598773604277596e-07
greedy_search_heuristic1,3,0.007456039296812378,0.0005958755605259655,3.550676836321337e-07
breadth_first_graph_search,3,0.014413139896350912,0.012999569805615178,0.00016898881513106184
astar_search_heuristic1,4,0.022104701196076347,0.001733168565065411,3.0038732749308955e-06
astar_search_heuristic2,4,0.02213259110285435,0.0022658541753529126,5.134095143964227e-06
greedy_search_heuristic3,4,0.022860080693499187,0.0013815145429522124,1.9085824323884604e-06
greedy_search_heuristic2,4,0.02308354130364023,0.006243680891485424,3.8983551074700225e-05
greedy_search_heuristic1,4,0.02390082300407812,0.0017192156922503378,2.9557025964798086e-06
breadth_first_graph_search,4,0.028321087802760304,0.0020948396411446225,4.38835312211093e-06
astar_search_heuristic3,4,0.02977260869811289,0.002053307513140238,4.216071743518149e-06
greedy_search_heuristic3,5,0.032838553399778904,0.0012757746554058916,1.6276009713760213e-06
astar_search_heuristic3,5,0.052093420395976864,0.002297676737336761,5.279318389298502e-06
greedy_search_heuristic2,5,0.05615052520006429,0.002223397984511139,4.9434985975281946e-06
astar_search_heuristic2,5,0.056229249501484446,0.003100005067766228,9.610031420176295e-06
astar_search_heuristic1,5,0.06797006229753606,0.002590398093683643,6.710162283759852e-06
greedy_search_heuristic1,5,0.07991505120298825,0.015164225234864414,0.00022995372697369869
breadth_first_graph_search,5,0.09199674130359199,0.0011720997724955168,1.3738178766840423e-06
greedy_search_heuristic2,6,0.1885163822065806,0.0029322573008060382,8.598132878130314e-06
astar_search_heuristic2,6,0.19548165429441725,0.0082960735709125,6.882483669399287e-05
greedy_search_heuristic3,6,0.20134759059583301,0.002997773629601134,8.986646734331955e-06
greedy_search_heuristic1,6,0.22594963990268296,0.01677743245082927,0.0002814822396421391
astar_search_heuristic1,6,0.23126943429233507,0.019699080241573772,0.00038805376236396223
breadth_first_graph_search,6,0.28277879260713235,0.011480624092469291,0.00013180472955258633
greedy_search_heuristic3,7,0.3134389070997713,0.013376938459902067,0.00017894248256000709
astar_search_heuristic3,7,0.5489269137964584,0.03175401481418324,0.0010083174568193687
greedy_search_heuristic2,7,0.602556956600165,0.04843133066677126,0.002345593790154138
astar_search_heuristic2,7,0.609884384603356,0.025808933631782334,0.0006661010552097453
greedy_search_heuristic1,7,0.6486261895945062,0.036978508069272005,0.0013674100590292146
astar_search_heuristic1,7,0.6803303243039409,0.048162822327658256,0.0023196574545655767
astar_search_heuristic3,6,0.8270431225944777,0.01921607044286899,0.00036925736326530326
breadth_first_graph_search,7,0.8397979004075751,0.05844754176348125,0.003416115138193885
